Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
H,1,480,682,981,496,2595,1,1,1,1,1,0,1356,-13668,-8704,-541,-447,131
H,1,400,647,1115,480,2598,1,1,1,1,1,0,1204,-13740,-9048,-631,-575,322
H,1,375,651,1161,508,2587,1,1,1,1,1,0,1396,-13544,-8996,-260,132,-151
H,1,419,679,1903,505,2559,1,1,1,1,1,0,1500,-13652,-8904,-336,103,261
H,1,582,548,1126,561,2615,1,1,1,1,1,0,1444,-13752,-8476,-382,-110,433
H,1,390,650,1054,464,2602,1,1,1,1,1,0,1368,-14096,-9088,-661,-542,583
H,1,386,666,1141,502,2606,1,1,1,1,1,0,1492,-14100,-9156,-512,68,43
I,1,1279,752,830,399,2480,0,1,1,1,0,0,15356,8572,-4248,-578,-308,68
I,1,1365,723,756,333,2585,1,1,1,1,0,0,15488,8432,-4392,-772,-85,155
I,1,1242,791,730,358,2598,1,1,1,1,0,0,15496,8436,-3840,-309,-142,131
I,1,1295,784,784,311,2559,1,1,1,1,0,0,15620,8616,-4216,-696,-295,171
I,1,1283,783,722,339,2559,1,1,1,1,0,0,15372,8424,-4116,-384,-44,369
I,1,1248,891,844,288,2592,0,0,1,1,0,0,15624,8388,-4152,-425,-304,76
I,1,1239,717,862,304,2539,1,1,1,1,0,0,15200,8480,-4000,-679,-183,-2
I,1,1318,777,763,277,2602,1,1,1,1,0,0,15512,8524,-3680,-157,-214,-98
I,1,1330,785,752,247,2559,1,1,1,1,0,0,15264,8560,-4528,-717,-839,45
I,1,1285,851,720,294,2559,1,1,1,1,0,0,15240,8724,-4804,-234,-16,379
I,1,1333,735,689,259,2602,0,1,1,1,0,0,15496,8216,-4060,-532,-64,334
I,1,1201,701,1002,429,2437,1,1,1,1,0,0,15264,8200,-4408,-1249,-292,190
I,1,1353,794,773,241,2545,1,1,1,1,0,0,15584,8152,-3944,-312,95,34
I,1,1314,770,780,282,2554,1,1,1,1,0,0,15448,8068,-3648,-567,-480,-362
I,1,1236,791,743,285,2535,1,1,1,1,0,0,15428,8676,-3852,146,-268,-257
I,1,1349,745,816,315,2543,1,1,1,1,0,0,15388,8644,-4224,-200,-555,-162
I,1,1340,834,687,208,2608,1,1,1,1,0,0,15276,8772,-4636,4,-416,-59
I,1,1305,783,764,243,2557,1,1,1,1,0,0,15404,8368,-4604,-395,-343,108
I,1,1322,746,763,283,2583,0,1,1,1,0,0,15316,8484,-4496,-488,-432,110
I,1,1247,853,799,267,2559,1,1,1,1,0,0,15368,8484,-4416,-174,36,76
I,1,1300,804,739,332,2544,1,1,1,1,0,0,15268,8536,-4200,-656,-205,-56
I,1,1446,875,640,183,2682,1,1,1,1,0,0,15240,8636,-4228,-231,-329,78
I,1,1306,757,794,327,2559,1,1,1,1,0,0,15068,8480,-4328,-997,-531,237
I,1,1342,767,734,304,2559,0,1,1,1,0,0,15064,8480,-4420,-378,-432,269
I,1,1393,761,799,259,2559,1,1,1,1,0,0,15524,8508,-4316,-394,-573,43
I,1,1333,768,843,138,2598,0,1,1,1,0,0,15452,8576,-4512,-242,-416,174
I,1,1241,704,801,386,2551,0,1,1,1,0,0,15316,8316,-4556,-499,-265,90
I,1,1307,815,759,284,2559,1,1,1,1,0,0,15484,8316,-4472,-39,-235,32
I,1,1313,781,779,283,2559,1,1,1,1,0,0,15200,8656,-4904,-773,-415,47
I,1,1315,767,739,281,2559,1,1,1,1,0,0,15296,8376,-4504,-205,26,165
I,1,1414,805,557,331,2608,1,1,1,1,0,0,15200,8588,-4712,-994,-298,260
I,1,1355,816,703,241,2558,1,1,1,1,0,0,15132,8368,-4420,-712,133,148
I,1,1311,818,752,281,2549,1,1,1,1,0,0,15296,8532,-4412,-1037,-412,172
I,1,1325,779,763,308,2559,0,1,1,1,0,0,14728,9312,-4644,-649,141,903
I,1,1232,766,674,240,2626,1,1,1,1,0,0,15264,8620,-3864,206,179,1554
I,1,1277,819,754,225,2595,0,1,1,1,0,0,15620,7720,-4404,-1250,-1078,1371
I,1,1304,753,817,343,2645,1,1,1,1,0,0,16232,6400,-4740,-671,-538,477
I,1,1361,772,736,304,2593,1,1,1,1,0,0,16140,6704,-4468,-1198,-109,-1112
I,1,1274,766,768,292,2559,1,1,1,1,0,0,15864,8828,-4292,603,55,-1000
I,1,1313,816,783,247,2593,1,1,1,1,0,0,15092,9328,-5120,-239,-209,-122
I,1,1274,798,875,298,2559,0,0,1,1,0,0,14628,9136,-5180,-879,263,541
I,1,1294,639,872,338,2554,1,1,1,1,0,0,15332,8032,-3944,-760,505,33
I,1,1303,784,737,281,2585,1,1,1,1,0,0,15508,8088,-3864,-1146,-678,418
I,1,1318,790,742,277,2559,0,0,1,1,0,0,15428,8084,-4568,-768,-342,108
I,1,1307,752,743,245,2554,1,1,1,1,0,0,15364,7876,-3836,-482,-155,-377
I,1,1350,657,718,439,2666,0,1,1,1,0,0,15388,8676,-3992,-630,-763,-242
I,1,1287,783,637,336,2586,1,1,1,1,0,0,15284,8568,-4544,480,-257,113
I,1,1315,780,754,256,2582,1,1,1,1,0,0,15092,8688,-5388,-723,-792,426
I,1,1313,766,758,267,2555,0,0,1,1,0,0,15304,8444,-4840,-954,-431,422
I,1,1527,693,619,347,2614,1,1,1,1,0,0,15380,7780,-4240,-1975,-178,-169
I,1,1420,864,563,252,2624,1,1,1,1,0,0,15416,8644,-4196,-1307,-458,22
